Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr)),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Traditional Strength Training,2022-07-21 16:32:00,2022-07-21 16:59,00:26:23,278.08,218.51,175,133.04,0.0,0.0,319,0,0.0,0.0,0.0,0.0,0
Pilates,2022-07-21 12:57:00,2022-07-21 13:18,00:20:46,159.71,108.13,132,107.02,0.0,0.0,136,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-07-21 09:10:00,2022-07-21 09:16,00:05:22,67.49,38.08,172,135.52,0.0,0.0,251,0,0.0,0.0,0.0,0.0,0
Walking,2022-07-21 08:44:00,2022-07-21 09:10,00:26:29,121.29,81.21,151,107.06,0.804,2.69,1464,0,0.0,0.0,2.0,33.01,0
Yoga,2022-07-20 08:45:00,2022-07-20 09:06,00:20:45,158.01,105.09,118,89.52,0.0,0.0,23,0,0.0,0.0,0.0,0.0,0
Walking,2022-07-20 08:01:00,2022-07-20 08:28,00:26:56,186.09,124.14,138,96.61,1.48,3.29,2128,0,0.0,0.0,5.0,87.7,0
Preparation and Recovery,2022-07-19 15:23:00,2022-07-19 15:33,00:10:00,46.88,31.0,124,100.99,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Other,2022-07-19 15:23:00,2022-07-19 15:32,00:09:51,76.88,60.68,125,102.58,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2022-07-19 14:24:00,2022-07-19 15:22,00:58:32,442.36,354.33,163,119.49,0.0,0.0,237,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-07-19 13:54:00,2022-07-19 14:04,00:10:00,78.14,63.0,134,110.03,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-07-19 13:54:00,2022-07-19 14:13,00:19:19,134.99,105.61,138,109.94,0.0,0.0,199,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-07-19 08:31:00,2022-07-19 08:38,00:06:38,56.65,24.85,115,102.34,0.0,0.0,19,0,0.0,0.0,0.0,0.0,0
Walking,2022-07-19 08:23:00,2022-07-19 08:31,00:07:43,48.13,36.17,141,111.98,0.375,2.92,753,0,0.0,0.0,2.0,28.05,0
Functional Strength Training,2022-07-19 08:13:00,2022-07-19 08:23,00:10:06,94.93,79.45,157,124.97,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2022-07-19 08:07:00,2022-07-19 08:12,00:05:43,31.18,22.27,98,88.23,0.285,2.99,525,0,0.0,0.0,0.0,0.0,0
